cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
10232.444444444445,2024-03-24T09:08:12.969Z,45.1366449,10.8013142,8.889884231488836,0.198,0.26,3,145
10288.055555555557,2024-03-24T09:08:13.024Z,45.1366448,10.8013142,8.883884231488835,0.11,0.2,3,145
10343.666666666668,2024-03-24T09:08:13.079Z,45.1366448,10.8013141,8.900884231488838,0.06,0.11,3,145
10399.27777777778,2024-03-24T09:08:13.134Z,45.1366448,10.801314,8.880884231488835,0.018,0.07,3,145
10454.88888888889,2024-03-24T09:08:13.189Z,45.1366449,10.8013139,8.885884231488838,0.045,0.02,3,145
10510.500000000002,2024-03-24T09:08:13.244Z,45.136645,10.8013138,8.881884231488833,0.057,0.05,3,145
10566.111111111113,2024-03-24T09:08:13.299Z,45.136645,10.8013138,8.872884231488833,0.07,0.06,3,145
10621.722222222224,2024-03-24T09:08:13.354Z,45.136645,10.8013138,8.856884231488834,0.047,0.07,3,145
10677.333333333336,2024-03-24T09:08:13.409Z,45.136645,10.8013138,8.850884231488834,0.002,0.05,3,145
10732.944444444447,2024-03-24T09:08:13.464Z,45.1366451,10.8013138,8.855884231488837,0.038,0.02,3,145
10788.555555555558,2024-03-24T09:08:13.519Z,45.1366452,10.8013137,8.865884231488835,0.063,0.04,3,145
10844.16666666667,2024-03-24T09:08:13.574Z,45.1366452,10.8013136,8.841884231488834,0.075,0.07,3,145
10899.777777777781,2024-03-24T09:08:13.629Z,45.1366452,10.8013136,8.840884231488836,0.044,0.08,3,145
10955.388888888892,2024-03-24T09:08:13.684Z,45.1366454,10.8013136,8.812884231488837,0.096,0.05,3,145
11011,2024-03-24T09:08:13.739Z,45.1366454,10.8013135,8.805884231488832,0.073,0.1,3,145
11066.611111111111,2024-03-24T09:08:13.794Z,45.1366453,10.8013135,8.808884231488832,0.022,0.07,3,145
11122.222222222223,2024-03-24T09:08:13.849Z,45.1366454,10.8013135,8.797884231488837,0.039,0.03,3,145
11177.833333333334,2024-03-24T09:08:13.904Z,45.1366454,10.8013134,8.786884231488834,0.041,0.05,3,145
11233.444444444445,2024-03-24T09:08:13.959Z,45.1366453,10.8013133,8.777884231488834,0.055,0.05,3,145
11289.055555555557,2024-03-24T09:08:14.014Z,45.1366453,10.8013132,8.765884231488833,0.089,0.06,3,145
11344.666666666668,2024-03-24T09:08:14.069Z,45.1366452,10.8013132,8.775884231488838,0.056,0.09,3,145
11400.27777777778,2024-03-24T09:08:14.124Z,45.1366453,10.8013132,8.778884231488838,0.042,0.06,3,145
11455.88888888889,2024-03-24T09:08:14.179Z,45.1366452,10.8013132,8.777884231488834,0.071,0.05,3,145
11511.500000000002,2024-03-24T09:08:14.234Z,45.1366452,10.8013132,8.762884231488833,0.069,0.08,3,145
11567.111111111113,2024-03-24T09:08:14.289Z,45.1366453,10.8013131,8.788884231488836,0.046,0.07,3,145
11622.722222222224,2024-03-24T09:08:14.344Z,45.1366452,10.801313,8.792884231488834,0.088,0.06,3,145
11678.333333333336,2024-03-24T09:08:14.399Z,45.1366452,10.8013131,8.787884231488832,0.067,0.1,3,145
11733.944444444447,2024-03-24T09:08:14.454Z,45.1366453,10.8013131,8.774884231488834,0.016,0.08,3,145
11789.555555555558,2024-03-24T09:08:14.509Z,45.1366453,10.8013131,8.762884231488833,0.015,0.04,3,145
11845.16666666667,2024-03-24T09:08:14.564Z,45.1366452,10.801313,8.762884231488833,0.037,0.04,3,145
11900.777777777781,2024-03-24T09:08:14.619Z,45.1366452,10.801313,8.734884231488834,0.032,0.06,3,145
11956.388888888892,2024-03-24T09:08:14.674Z,45.1366452,10.801313,8.734884231488834,0.027,0.04,3,145
12012,2024-03-24T09:08:14.729Z,45.1366452,10.801313,8.748884231488837,0.032,0.04,3,145
12067.611111111111,2024-03-24T09:08:14.784Z,45.1366454,10.801313,8.743884231488835,0.063,0.05,3,145
12123.222222222223,2024-03-24T09:08:14.839Z,45.1366453,10.8013131,8.726884231488832,0.053,0.07,3,145
12178.833333333334,2024-03-24T09:08:14.894Z,45.1366454,10.801313,8.763884231488838,0.019,0.06,3,145
12234.444444444445,2024-03-24T09:08:14.949Z,45.1366453,10.801313,8.751884231488837,0.058,0.05,3,145
12290.055555555557,2024-03-24T09:08:15.004Z,45.1366453,10.8013129,8.748884231488837,0.052,0.07,3,145
12345.666666666668,2024-03-24T09:08:15.059Z,45.1366453,10.801313,8.733884231488837,0.024,0.06,3,145
12401.27777777778,2024-03-24T09:08:15.114Z,45.1366453,10.8013129,8.742884231488837,0.064,0.03,3,145
12456.88888888889,2024-03-24T09:08:15.169Z,45.1366453,10.8013129,8.738884231488832,0.013,0.07,3,145
12512.500000000002,2024-03-24T09:08:15.224Z,45.1366453,10.8013129,8.738884231488832,0.027,0.03,3,145
12568.111111111113,2024-03-24T09:08:15.279Z,45.1366453,10.8013128,8.727884231488837,0.09,0.04,3,145
12623.722222222224,2024-03-24T09:08:15.334Z,45.1366452,10.8013128,8.709884231488836,0.043,0.09,3,145
12679.333333333336,2024-03-24T09:08:15.389Z,45.1366451,10.8013126,8.705884231488838,0.189,0.05,3,145
12734.944444444447,2024-03-24T09:08:15.444Z,45.1366449,10.8013123,8.688884231488835,0.308,0.19,3,145
12790.555555555558,2024-03-24T09:08:15.499Z,45.1366452,10.8013124,8.724884231488836,0.045,0.31,3,145
12846.16666666667,2024-03-24T09:08:15.554Z,45.1366452,10.8013124,8.697884231488835,0.07,0.05,3,145
12901.777777777781,2024-03-24T09:08:15.609Z,45.136645,10.8013124,8.684884231488837,0.115,0.07,3,145
12957.388888888892,2024-03-24T09:08:15.664Z,45.136645,10.8013124,8.695884231488833,0.094,0.12,3,145
13013,2024-03-24T09:08:15.719Z,45.1366449,10.8013123,8.685884231488835,0.116,0.09,3,145
13065.684210526315,2024-03-24T09:08:15.774Z,45.136645,10.8013123,8.694884231488835,0.085,0.12,3,145
13118.36842105263,2024-03-24T09:08:15.829Z,45.1366451,10.8013123,8.697884231488835,0.022,0.08,3,145
13171.052631578945,2024-03-24T09:08:15.884Z,45.1366452,10.8013123,8.696884231488838,0.039,0.02,3,145
